"Hotel Name","Hotel ID"
"Hotel Mercure Alger Aéroport","2515132"
"Holiday Inn Dubai Festival City","86567205"
"Hampton Inn & Suites Miami Wynwood Design District","59474551"
"Al Muhaidab Residence Al Ahsa","84747451"
"Revier Hotel - Dubai","2705967"
"Holiday Inn St. Augustine-Hist. District","3514677"
"InterContinental Jeddah, an IHG Hotel","1093472"
"Hilton Meadowlands","2815707"
"Hilton Boston Park Plaza","2553422"
"Diwane Hotel","1553602"
"Hotel Mercure Alger Aéroport","2515132"
"Casa Marina Key West, Curio Collection by Hilton","1549107"
"Al Farhan Hotel Suites - Al Salam","6491456"
"Khabti Grand Hotel","94412272"
"Eastyard Dammam Hotel","68385454"
"Kingsgate Hotel Abu Dhabi","2314502"
"Kaani Beach Hotel","1855139"
"Millennium Hotel Hail","55136171"
"Millennium Hotel Hail","55136171"
"Washington Hilton","1103839"
"The Bethesdan Hotel, Tapestry Collection by Hilton","1095713"
"Hampton Inn New York - LaGuardia Airport","1959638"
"Hampton Inn & Suites Alexandria Old Town Area South","1533326"
"Doubletree Suites by Hilton Hotel Boston Cambridge","1238848"
"Copthorne Hotel Sharjah","1161697"
"LaGuardia Plaza Hotel","2547229"
"Hampton Inn Manhattan-Madison Square Garden Area","1569140"
"Hilton Denver City Center","2889861"
"Steigenberger Hotel El Tahrir Cairo","8733222"
"Golden New Continental EX. Hyatt Jeddah Continental Hotel","3980702"
"Copthorne Hotel Sharjah","1161697"
"Hilton Quebec","1023083"
"Heritance Kandalama","8032937"
"Heritance Kandalama","8032937"
"Heritance Kandalama","8032937"
"Home2 Suites by Hilton Taylor Detroit","65213260"
"Diwane Hotel","1553602"
"voco Makkah","34659922"
"Hilton Los Angeles Airport","1153727"
"Warwick Hotel Jeddah","21763337"
"Avani Deira Dubai Hotel","2585117"
"HILTON CARTAGENA","1088558"
"DoubleTree Resort by Hilton Hollywood Beach","1631922"
"BLUESEA Costa Jardin Spa","1977986"
"DoubleTree by Hilton Hotel Albuquerque","3762120"
"Hilton Boston Logan Airport","1520097"
"Millennium Hotel Hail","55136171"
"Edge Creekside Hotel","66308121"
"Le Park Concord Hotel Arar","83302916"
"Embassy Suites by Hilton Orlando Lake Buena Vista South","2155658"
"Embassy Suites by Hilton Orlando Lake Buena Vista South","2155658"
"Hilton Boston Logan Airport","1520097"
"Hampton By Hilton San Jose Airport","1591597"
"Hilton Garden Inn Niagara-on-the-Lake","1281331"
"Copthorne Hotel Sharjah","1161697"
"Makarem Ajyad Makkah Hotel","1800079"
"Hampton By Hilton San Jose Airport","1591597"
"Hampton By Hilton San Jose Airport","1591597"
"Avani Deira Dubai Hotel","2585117"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Hilton Quebec","1023083"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Swissôtel Al Murooj Dubai","90001468"
"Hampton Inn Manhattan-Madison Square Garden Area","1569140"
"Hilton Miami Airport Blue Lagoon","1822760"
"LaGuardia Plaza Hotel","2547229"
"DoubleTree Resort by Hilton Hollywood Beach","1631922"
"Hilton Alexandria Mark Center","1838053"
"DoubleTree by Hilton Miami Airport & Convention Center","1261674"
"Hilton Garden Inn Washington DC/U.S. Capitol","1141607"
"Marsa Malaz Kempinski, The Pearl - Doha","41100567"
"Makarem Umm Al Qura Hotel","1520441"
"Makarem Umm Al Qura Hotel","1520441"
"Washington Hilton","1103839"
"Copthorne Hotel Sharjah","1161697"
"Hilton Quebec","1023083"
"AWFAD Hotel","88029744"
"Balmoral Hotel","1392247"
"Somewhere Apartment Hotel","2030632"
"Cinnamon Red Colombo","1289018"
"voco Makkah","34659922"
"DoubleTree by Hilton Hotel Tulsa - Warren Place","1016050"
"Hampton Inn New York - LaGuardia Airport","1959638"
